Date,BRL=X,BTC-USD,ITUB3.SA,PETR4.SA,VALE3.SA,^BVSP,BRL=X %,BTC-USD %,ITUB3.SA %,PETR4.SA %,VALE3.SA %,^BVSP %,BRL=X V,BTC-USD V,ITUB3.SA V,PETR4.SA V,VALE3.SA V,^BVSP V
2022-08-12,5.1570000648498535,24402.818359375,16.324459075927734,18.689271926879883,57.633243560791016,112764.0,0.012427142076543163,0.018586602023192844,0.00884973902711561,0.07193335271119183,0.012798640074523027,0.02776208097121713,0.0,27265804688,539880.0,171288300.0,35608400.0,18704900.0
2022-08-13,,24424.068359375,,,,,0.0,0.0008708010561344626,0.0,0.0,0.0,0.0,,22987346289,,,,
2022-08-14,,24319.333984375,,,,,0.0,-0.004288162539464846,0.0,0.0,0.0,0.0,,22994133555,,,,
2022-08-15,5.074900150299072,24136.97265625,16.4676570892334,18.69516372680664,56.39470291137695,113032.0,-0.01592009182050913,-0.007498615226969818,0.008771991319260763,0.0003152503719678901,-0.021490038958290825,0.002376645028555169,0.0,35123501685,815430.0,96759000.0,26735800.0,15552900.0
2022-08-16,5.095600128173828,23883.291015625,16.653810501098633,18.866085052490234,57.64976119995117,113512.0,0.004078893625825586,-0.010510085263709001,0.01130418315468451,0.009142542327057246,0.02225489671514924,0.004246585037865458,0.0,27753685646,487080.0,64218800.0,22070200.0,12986400.0
2022-08-17,5.1417388916015625,23335.998046875,16.70393943786621,19.308120727539062,56.3369026184082,113708.0,0.009054627966710083,-0.02291530796119967,0.0030100580743530614,0.02343017503732092,-0.022773009882720574,0.0017266896891958705,0.0,30931623076,923450.0,72924700.0,29131700.0,14652800.0
2022-08-18,5.164999961853027,23212.73828125,16.668136596679688,19.697113037109375,55.915802001953125,113813.0,0.004523969563965835,-0.005281958173694035,-0.0021433770949481623,0.0201465650158017,-0.007474685275251192,0.0009234178773700474,0.0,23747613147,513480.0,84552500.0,27692000.0,10644200.0
2022-08-19,5.166999816894531,20877.552734375,16.49169921875,18.70105743408203,55.28827667236328,111496.0,0.0003871936217374472,-0.10059931398792521,-0.010585309095968998,-0.05056860876773028,-0.011222683161513536,-0.020357955593824917,0.0,40509610260,469370.0,125178200.0,45903800.0,12678600.0
2022-08-20,,21166.060546875,,,,,0.0,0.013819043648011897,0.0,0.0,0.0,0.0,,27595671000,,,,
2022-08-21,,21534.12109375,,,,,0.0,0.01738918520335342,0.0,0.0,0.0,0.0,,23102307723,,,,
2022-08-22,5.168399810791016,21398.908203125,16.310073852539062,19.10184097290039,54.47909927368164,110501.0,0.0002709490896257716,-0.006279006699941081,-0.011013138415988166,0.021431062934866185,-0.01463560536489139,-0.008924086962761035,0.0,31666498758,358050.0,92400300.0,19335700.0,11010900.0
2022-08-23,5.156099796295166,21528.087890625,16.310073852539062,19.70890235900879,57.971771240234375,112857.0,-0.0023798496529174873,0.006036741981122917,0.0,0.03178025547221508,0.06411031043312443,0.021321074017429664,0.0,31878280659,494230.0,73215800.0,37223500.0,11892000.0
2022-08-24,5.103499889373779,21395.01953125,16.419055938720703,19.826772689819336,56.105712890625,112898.0,-0.010201491243280736,-0.006181150878381003,0.006681887964883337,0.005980562928542321,-0.032189086337839345,0.0003632915991031993,0.0,31962253368,773080.0,61067900.0,28773800.0,13758600.0
2022-08-25,5.110099792480469,21600.904296875,16.564348220825195,19.614599227905273,57.195613861083984,113532.0,0.0012932111785544098,0.009623023027591993,0.00884900341692929,-0.010701361499091067,0.0194258465725885,0.005615688497581983,0.0,31028679593,498410.0,99511600.0,24956700.0,11838500.0
2022-08-26,5.108699798583984,20260.01953125,16.52076530456543,19.826772689819336,56.3369026184082,112299.0,-0.0002739660580688419,-0.06207539958496022,-0.002631127749715634,0.01081711940421437,-0.015013585565519239,-0.010860374167635523,0.0,42326789564,276320.0,63545400.0,28510100.0,11159700.0
2022-08-27,,20041.73828125,,,,,0.0,-0.010773990107132536,0.0,0.0,0.0,0.0,,30116729776,,,,
2022-08-28,,19616.814453125,,,,,0.0,-0.021201944769558057,0.0,0.0,0.0,0.0,,24366810591,,,,
2022-08-29,5.0625,20297.994140625,16.44084358215332,20.321857452392578,55.24699783325195,112323.0,-0.009043357489275428,0.03472427641744291,-0.004837652550516158,0.02497051690250429,-0.019346196444959052,0.00021371517110568838,0.0,32637854078,330770.0,73339500.0,22128100.0,9795800.0
2022-08-30,5.027200222015381,19796.80859375,16.397258758544922,19.113628387451172,53.6451530456543,110431.0,-0.006972795651282837,-0.024691382971281484,-0.0026510089576978757,-0.05945465702492447,-0.028994241323888614,-0.01684427944410316,0.0,34483360283,288640.0,99361100.0,34469300.0,11937900.0
2022-08-31,5.1219000816345215,20049.763671875,16.084861755371094,19.585128784179688,53.257076263427734,109523.0,0.018837495113965375,0.012777568511970205,-0.01905178223835935,0.024668283131321855,-0.007234144376404239,-0.00822232887504415,0.0,33225232872,707960.0,114235400.0,33242900.0,14791100.0
2022-09-01,5.181700229644775,20127.140625,16.200769424438477,19.95054817199707,52.75340270996094,110405.0,0.011675383560229458,0.0038592451457939436,0.007206009652440892,0.018658002806321017,-0.009457401509903707,0.008053103001196105,0.0,30182031010,647570.0,69184700.0,40922200.0,14478000.0
2022-09-02,5.2403998374938965,19969.771484375,16.433469772338867,19.697113037109375,51.95248794555664,110864.0,0.011328252358810298,-0.007818752974256604,0.014363536805194421,-0.012703166484589135,-0.015182238931728098,0.004157420406684542,0.0,29123998928,1136850.0,81792300.0,49910300.0,16691800.0
2022-09-03,,19832.087890625,,,,,0.0,-0.006894600364241943,0.0,0.0,0.0,0.0,,23613051457,,,,
2022-09-04,,19986.712890625,,,,,0.0,0.007796708085036963,0.0,0.0,0.0,0.0,,25245861652,,,,
2022-09-05,5.171000003814697,19812.37109375,16.60797691345215,19.64996337890625,53.85157775878906,112203.0,-0.013243232545474659,-0.008722884940063236,0.010619007642988176,-0.0023937344581561604,0.036554357420236716,0.012077861163227066,0.0,28813460025,797060.0,76337600.0,24319700.0,9515500.0
2022-09-06,5.153900146484375,18837.66796875,16.564346313476562,18.919130325317383,52.57175064086914,109764.0,-0.0033068762942771723,-0.04919669232863699,-0.0026270869837400346,-0.03719259112581341,-0.02376582397738647,-0.021737386700890315,0.0,43403978910,403810.0,111813500.0,24525000.0,14296100.0
2022-09-07,5.247200012207031,19290.32421875,,,,,0.018102769372879468,0.024029314602578067,0.0,0.0,0.0,0.0,0.0,35239757134,,,,
2022-09-08,5.246699810028076,19329.833984375,16.498903274536133,18.7423152923584,53.26533508300781,109916.0,-9.532744659845882e-05,0.0020481649337233954,-0.003950837401122564,-0.009345833022904482,0.01319310149811681,0.001384789184067703,0.0,32194477850,537240.0,63159800.0,24144700.0,13759500.0
2022-09-09,5.2133002281188965,21381.15234375,16.600709915161133,18.736421585083008,57.426822662353516,112300.0,-0.00636582673270969,0.10612188190716765,0.006170509574543903,-0.0003144599364302003,0.07812750211484665,0.02168929000327524,0.0,48469528171,566830.0,49871900.0,49273400.0,12155200.0
2022-09-10,,21680.5390625,,,,,0.0,0.014002365912589188,0.0,0.0,0.0,0.0,,36913738894,,,,
2022-09-11,,21769.255859375,,,,,0.0,0.004092001431295067,0.0,0.0,0.0,0.0,,34493951963,,,,
2022-09-12,5.146299839019775,22370.44921875,16.731592178344727,18.553714752197266,57.93048858642578,113407.0,-0.012851818649872171,0.027616624254801714,0.007884136512984918,-0.00975142622917946,0.008770569234408443,0.009857524487978608,0.0,50212088965,407330.0,71374500.0,24797600.0,11707100.0
2022-09-13,5.0920000076293945,20296.70703125,16.600709915161133,18.06452751159668,56.353416442871094,110794.0,-0.010551237411134506,-0.09270006906083372,-0.007822463145676695,-0.02636599986224608,-0.02722352567770725,-0.023040905764194486,0.0,51091116622,393580.0,88327800.0,29457800.0,12612500.0
2022-09-14,5.189799785614014,20241.08984375,16.49163246154785,18.341535568237305,55.3213005065918,110547.0,0.019206554956418875,-0.0027402074343571003,-0.00657064994031753,0.015334364901755437,-0.018315055260680002,-0.0022293626008628165,0.0,37872380889,516010.0,49039700.0,31018300.0,11630900.0
2022-09-15,5.162700176239014,19701.2109375,16.50617027282715,18.306175231933594,56.43598937988281,109954.0,-0.005221706134043824,-0.026672422800232853,0.0008815265143213846,-0.0019278830920211876,0.020149361332497895,-0.0053642342171202895,0.0,36389011503,1007490.0,45553200.0,36958800.0,11622500.0
2022-09-16,5.246099948883057,19772.583984375,16.469816207885742,18.14114761352539,56.353416442871094,109280.0,0.016154293256828156,0.003622774615297697,-0.0022024530427420252,-0.009014860631309074,-0.0014631255324665249,-0.006129836113283771,0.0,30123362273,1259940.0,107303600.0,65178000.0,18843300.0
2022-09-17,,20127.576171875,,,,,0.0,0.017953757980268437,0.0,0.0,0.0,0.0,,24957448100,,,,
2022-09-18,,19419.505859375,,,,,0.0,-0.035179114785287124,0.0,0.0,0.0,0.0,,31254779144,,,,
