geo,year,oil_consumption_barrels
total_world,2002,78322.05977
canada,2003,2301.75799
mexico,2003,1994.33837
united_states,2003,19848.28151
total_north_america,2003,24144.37786
argentina,2003,443.36775
brazil,2003,1875.26098
chile,2003,243.93935
colombia,2003,237.44878
ecuador,2003,147.51271
peru,2003,137.90611
trinidad_tobago,2003,33.2009
venezuela,2003,492.26577
central_america,2003,301.1575
other_caribbean,2003,796.77493
other_south_america,2003,128.49883
total_south_central_america,2003,4837.33362
austria,2003,287.44321
belgium,2003,656.52433
bulgaria,2003,100.16821
croatia,2003,93.12877
cyprus,2003,52.17682
czech_republic,2003,182.88719
denmark,2003,188.31951
estonia,2003,27.1669
finland,2003,226.15819
france,2003,1946.96652
germany,2003,2632.04728
greece,2003,427.40859
hungary,2003,128.38341
iceland,2003,16.22886
ireland,2003,174.41571
italy,2003,1915.49753
latvia,2003,31.19604
lithuania,2003,49.89099
luxembourg,2003,55.8778
netherlands,2003,901.02015
north_macedonia,2003,17.15318
norway,2003,224.18732
poland,2003,439.93288
portugal,2003,321.65037
romania,2003,194.17433
slovakia,2003,70.35976
slovenia,2003,51.05096
spain,2003,1501.06742
sweden,2003,364.24252
switzerland,2003,257.03501
turkey,2003,642.73567
ukraine,2003,295.95068
united_kingdom,2003,1715.03962
other_europe,2003,259.26962
total_europe,2003,16446.75534
azerbaijan,2003,84.43192
belarus,2003,164.43584
kazakhstan,2003,170.99414
russian_federation,2003,2652.55179
turkmenistan,2003,96.70424
uzbekistan,2003,119.47463
other_cis,2003,36.20888
total_cis,2003,3324.80143
iran,2003,1419.56093
iraq,2003,483.90786
israel,2003,256.10101
kuwait,2003,331.63769
oman,2003,72.87998
qatar,2003,80.01996
saudi_arabia,2003,1909.5403
united_arab_emirates,2003,447.93611
other_middle_east,2003,625.87859
total_middle_east,2003,5627.46241
algeria,2003,228.93781
egypt,2003,544.23247
morocco,2003,158.45358
south_africa,2003,495.32322
eastern_africa,2003,292.99128
middle_africa,2003,111.25733
western_africa,2003,421.1641
other_northern_africa,2003,337.45183
other_southern_africa,2003,36.73122
total_africa,2003,2626.54285
australia,2003,835.70703
bangladesh,2003,75.60311
china,2003,5738.23004
china_hong_kong_sar,2003,267.13279
india,2003,2434.47545
indonesia,2003,1196.86957
japan,2003,5595.12996
malaysia,2003,621.01567
new_zealand,2003,144.74523
pakistan,2003,320.16307
philippines,2003,327.97534
singapore,2003,663.38742
south_korea,2003,2284.22136
sri_lanka,2003,77.51462
taiwan,2003,967.67205
thailand,2003,897.35408
vietnam,2003,223.04896
other_asia_pacific,2003,221.59497
total_asia_pacific,2003,22891.84074
total_world,2003,79899.11425
canada,2004,2400.70514
mexico,2004,2085.93236
united_states,2004,20498.32449
total_north_america,2004,24984.96199
argentina,2004,482.59899
brazil,2004,1937.13146
chile,2004,267.19166
colombia,2004,254.68487
ecuador,2004,154.56461
peru,2004,151.90482
trinidad_tobago,2004,35.4431
venezuela,2004,526.73048
central_america,2004,309.50245
other_caribbean,2004,795.4657
other_south_america,2004,137.36422
total_south_central_america,2004,5052.58236
austria,2004,291.3274
belgium,2004,661.99584
bulgaria,2004,96.66265
croatia,2004,88.03045
cyprus,2004,50.6621
czech_republic,2004,201.1057
denmark,2004,184.83158
estonia,2004,27.41432
finland,2004,212.39366
france,2004,1958.92736
germany,2004,2597.08896
greece,2004,417.73326
hungary,2004,136.18369
iceland,2004,16.99608
ireland,2004,182.238
italy,2004,1897.1079
latvia,2004,33.4656
lithuania,2004,53.81194
luxembourg,2004,62.97559
netherlands,2004,938.19252
north_macedonia,2004,17.44858
norway,2004,210.86375
poland,2004,469.01746
portugal,2004,325.01367
romania,2004,225.80415
slovakia,2004,68.53749
slovenia,2004,52.26325
spain,2004,1506.81662
sweden,2004,359.85158
switzerland,2004,261.67477
turkey,2004,660.08519
ukraine,2004,295.98235
united_kingdom,2004,1750.96981
other_europe,2004,280.84209
total_europe,2004,16594.31539
azerbaijan,2004,90.53303
belarus,2004,159.96885
kazakhstan,2004,180.68733
russian_federation,2004,2620.66001
turkmenistan,2004,131.14749
uzbekistan,2004,114.95254
other_cis,2004,40.00016
total_cis,2004,3337.94941
iran,2004,1481.06834
iraq,2004,524.50244
israel,2004,243.74624
kuwait,2004,368.63669
oman,2004,70.89016
qatar,2004,95.78491
saudi_arabia,2004,2055.90611
united_arab_emirates,2004,479.31904
other_middle_east,2004,664.35627
total_middle_east,2004,5984.21021
algeria,2004,238.26514
egypt,2004,572.50393
morocco,2004,181.71297
south_africa,2004,512.62616
eastern_africa,2004,310.43068
middle_africa,2004,118.07066
western_africa,2004,437.14059
other_northern_africa,2004,337.83647
other_southern_africa,2004,36.72914
total_africa,2004,2745.31575
australia,2004,849.02377
bangladesh,2004,78.25017
china,2004,6689.55735
china_hong_kong_sar,2004,311.3935
india,2004,2576.01013
indonesia,2004,1261.6836
japan,2004,5463.6964
malaysia,2004,651.8989
new_zealand,2004,143.34013
pakistan,2004,324.5427
philippines,2004,332.53825
singapore,2004,741.11019
south_korea,2004,2265.9308
sri_lanka,2004,77.40832
taiwan,2004,990.46859
thailand,2004,987.15578
vietnam,2004,265.97753
other_asia_pacific,2004,232.38696
total_asia_pacific,2004,24242.37308
total_world,2004,82941.7082
canada,2005,2348.09533
mexico,2005,2224.76621
united_states,2005,20531.48159
total_north_america,2005,25104.34313
argentina,2005,501.05968
brazil,2005,1974.76031
chile,2005,274.76802
colombia,2005,252.65012
ecuador,2005,169.15414
peru,2005,151.9353
trinidad_tobago,2005,39.44431
venezuela,2005,580.62315
central_america,2005,308.93001
other_caribbean,2005,806.47444
other_south_america,2005,138.84728
total_south_central_america,2005,5198.64676
austria,2005,292.76118
belgium,2005,661.00922
bulgaria,2005,105.98676
croatia,2005,91.44059
cyprus,2005,56.64959
czech_republic,2005,210.10535
denmark,2005,187.27119
estonia,2005,28.09562
finland,2005,220.35579
france,2005,1927.27766
germany,2005,2549.929
greece,2005,421.80148
hungary,2005,156.30392
iceland,2005,17.36252
ireland,2005,192.19974
italy,2005,1842.39851
latvia,2005,35.43548
lithuania,2005,58.30249
luxembourg,2005,64.73783
netherlands,2005,990.49099
north_macedonia,2005,18.17186
norway,2005,215.2338
poland,2005,481.57227
portugal,2005,334.06375
romania,2005,221.73236
slovakia,2005,81.01501
slovenia,2005,53.47833
spain,2005,1546.81562
sweden,2005,352.11314
switzerland,2005,263.09122
turkey,2005,656.38512
ukraine,2005,304.91323
united_kingdom,2005,1806.9727
other_europe,2005,293.73133
total_europe,2005,16739.20465
azerbaijan,2005,106.23948
belarus,2005,149.62855
kazakhstan,2005,186.04185
russian_federation,2005,2645.87617
turkmenistan,2005,107.5089
uzbekistan,2005,109.24496
other_cis,2005,43.27179
total_cis,2005,3347.81171
iran,2005,1594.9023
iraq,2005,497.94524
israel,2005,240.53112
kuwait,2005,402.26114
oman,2005,80.93277
qatar,2005,107.57634
saudi_arabia,2005,2203.31861
united_arab_emirates,2005,496.04458
other_middle_east,2005,755.84616
total_middle_east,2005,6379.35825
algeria,2005,249.25237
egypt,2005,606.39633
morocco,2005,196.88165
south_africa,2005,516.77306
eastern_africa,2005,332.17217
middle_africa,2005,110.65105
western_africa,2005,472.06389
other_northern_africa,2005,359.23677
other_southern_africa,2005,38.56032
total_africa,2005,2881.98761
australia,2005,867.65151
bangladesh,2005,80.47464
china,2005,6815.67267
china_hong_kong_sar,2005,283.1323
india,2005,2625.44807
indonesia,2005,1266.31597
japan,2005,5551.87905
malaysia,2005,676.79096
new_zealand,2005,150.64024
pakistan,2005,309.8319
philippines,2005,307.97096
singapore,2005,783.25364
south_korea,2005,2290.67079
sri_lanka,2005,88.38755
taiwan,2005,1000.60181
thailand,2005,995.79663
vietnam,2005,264.64436
other_asia_pacific,2005,235.08267
total_asia_pacific,2005,24594.2457
total_world,2005,84245.59781
canada,2006,2206.19257
mexico,2006,2169.78221
united_states,2006,20312.84974
total_north_america,2006,24688.82452
argentina,2006,525.67946
brazil,2006,2022.99754
chile,2006,283.42048
colombia,2006,267.98792
ecuador,2006,179.65388
peru,2006,145.10745
trinidad_tobago,2006,40.81393
venezuela,2006,625.05216
central_america,2006,326.01349
other_caribbean,2006,813.84038
other_south_america,2006,142.26252
total_south_central_america,2006,5372.82923
austria,2006,291.38666
belgium,2006,655.6766
bulgaria,2006,107.31012
croatia,2006,93.16305
cyprus,2006,56.04814
czech_republic,2006,206.39734
denmark,2006,188.52957
estonia,2006,29.25532
finland,2006,214.93859
france,2006,1921.06158
germany,2006,2541.80094
greece,2006,439.81084
hungary,2006,162.904
iceland,2006,17.61775
ireland,2006,196.48552
italy,2006,1855.68932
latvia,2006,33.57258
lithuania,2006,57.71266
luxembourg,2006,61.4906
netherlands,2006,981.45073
north_macedonia,2006,19.11816
norway,2006,221.57484
poland,2006,515.69507
portugal,2006,297.90692
romania,2006,213.99644
slovakia,2006,74.66511
slovenia,2006,55.33041
spain,2006,1531.49437
sweden,2006,350.45689
switzerland,2006,261.63059
turkey,2006,679.22008
ukraine,2006,312.14623
united_kingdom,2006,1785.21916
other_europe,2006,301.95622
total_europe,2006,16732.71237
azerbaijan,2006,96.10061
belarus,2006,175.39403
kazakhstan,2006,214.14362
russian_federation,2006,2777.79327
turkmenistan,2006,108.68434
uzbekistan,2006,111.59551
other_cis,2006,47.33294
total_cis,2006,3531.0443
iran,2006,1738.74532
iraq,2006,487.1728
israel,2006,234.21983
kuwait,2006,381.14617
oman,2006,85.88515
qatar,2006,134.90894
saudi_arabia,2006,2321.9976
united_arab_emirates,2006,533.3057
other_middle_east,2006,760.76544
total_middle_east,2006,6678.14695
algeria,2006,257.55273
egypt,2006,594.29389
morocco,2006,201.11283
south_africa,2006,527.33193
eastern_africa,2006,352.89625
middle_africa,2006,127.28391
western_africa,2006,458.01435
other_northern_africa,2006,377.06915
other_southern_africa,2006,38.41914
total_africa,2006,2933.97418
australia,2006,894.23835
bangladesh,2006,80.80258
china,2006,7322.5931
china_hong_kong_sar,2006,303.0693
india,2006,2772.09668
indonesia,2006,1222.3774
japan,2006,5363.89165
malaysia,2006,658.57635
new_zealand,2006,151.35047
pakistan,2006,353.83865
philippines,2006,283.23014
singapore,2006,837.34106
south_korea,2006,2299.50039
sri_lanka,2006,90.75733
taiwan,2006,1008.81779
thailand,2006,996.04992
vietnam,2006,260.56717
other_asia_pacific,2006,245.6996
total_asia_pacific,2006,25144.79792
total_world,2006,85082.32948
canada,2007,2436.56762
